Country,Day, % pos.,Geographic spread
Romania,17/02/2014,,"0,1"
Russian Federation,17/02/2014,31,2
Serbia,17/02/2014,50,1
Slovakia,17/02/2014,"33,3",0
Slovenia,17/02/2014,"83,7","0,1"
Spain,17/02/2014,"29,1",2
Sweden,17/02/2014,"32,6",2
Switzerland,17/02/2014,"65,4","0,1"
Turkey,17/02/2014,"8,4",2
United Kingdom - England,17/02/2014,"26,1",2
United Kingdom - Northern Ireland,17/02/2014,25,1
United Kingdom - Scotland,17/02/2014,"25,9",1
United Kingdom - Wales,17/02/2014,100,1
Ukraine,17/02/2014,"37,5",2
Uzbekistan,17/02/2014,"16,7",1
Europe,17/02/2014,"32,2","0,1"
