età	popolazione	regione
0-4	4528	Valle dAosta / Vallée dAoste
5-9	5544	Valle dAosta / Vallée dAoste
10-14	6012	Valle dAosta / Vallée dAoste
15-19	5881	Valle dAosta / Vallée dAoste
20-24	5895	Valle dAosta / Vallée dAoste
25-29	5975	Valle dAosta / Vallée dAoste
30-34	6303	Valle dAosta / Vallée dAoste
35-39	6871	Valle dAosta / Vallée dAoste
40-44	8414	Valle dAosta / Vallée dAoste
45-49	10141	Valle dAosta / Vallée dAoste
50-54	10804	Valle dAosta / Vallée dAoste
55-59	9953	Valle dAosta / Vallée dAoste
60-64	8404	Valle dAosta / Vallée dAoste
65-69	7656	Valle dAosta / Vallée dAoste
70-74	7148	Valle dAosta / Vallée dAoste
75-79	5941	Valle dAosta / Vallée dAoste
80-84	4822	Valle dAosta / Vallée dAoste
85-89	2978	Valle dAosta / Vallée dAoste
90-94	1402	Valle dAosta / Vallée dAoste
95-99	332	Valle dAosta / Vallée dAoste
100+	30	Valle dAosta / Vallée dAoste
0-4	46674	Abruzzo
5-9	54313	Abruzzo
10-14	57316	Abruzzo
15-19	58345	Abruzzo
20-24	61884	Abruzzo
25-29	68199	Abruzzo
30-34	72195	Abruzzo
35-39	78518	Abruzzo
40-44	89760	Abruzzo
45-49	100300	Abruzzo
50-54	105503	Abruzzo
55-59	98654	Abruzzo
60-64	87992	Abruzzo
65-69	79713	Abruzzo
70-74	73892	Abruzzo
75-79	56680	Abruzzo
80-84	50828	Abruzzo
85-89	33660	Abruzzo
90-94	15121	Abruzzo
95-99	4001	Abruzzo
100+	393	Abruzzo
0-4	19131	Basilicata
5-9	21378	Basilicata
10-14	24239	Basilicata
15-19	27278	Basilicata
20-24	29140	Basilicata
25-29	32043	Basilicata
30-34	32186	Basilicata
35-39	33018	Basilicata
40-44	37207	Basilicata
45-49	41260	Basilicata
50-54	44135	Basilicata
55-59	43687	Basilicata
60-64	38551	Basilicata
65-69	34266	Basilicata
70-74	30160	Basilicata
75-79	21645	Basilicata
80-84	21657	Basilicata
85-89	14450	Basilicata
90-94	6180	Basilicata
95-99	1518	Basilicata
100+	125	Basilicata
0-4	75828	Calabria
5-9	82594	Calabria
10-14	89301	Calabria
15-19	95408	Calabria
20-24	101946	Calabria
25-29	111943	Calabria
30-34	117282	Calabria
35-39	119386	Calabria
40-44	129476	Calabria
45-49	136941	Calabria
50-54	144474	Calabria
55-59	142330	Calabria
60-64	127327	Calabria
65-69	113888	Calabria
70-74	101516	Calabria
75-79	73692	Calabria
80-84	64515	Calabria
85-89	43205	Calabria
90-94	17936	Calabria
95-99	4662	Calabria
100+	460	Calabria
0-4	242182	Campania
5-9	270094	Campania
10-14	301798	Campania
15-19	325487	Campania
20-24	339167	Campania
25-29	354312	Campania
30-34	351072	Campania
35-39	364186	Campania
40-44	399817	Campania
45-49	435780	Campania
50-54	446533	Campania
55-59	422151	Campania
60-64	359930	Campania
65-69	310937	Campania
70-74	284977	Campania
75-79	199403	Campania
80-84	158816	Campania
85-89	96457	Campania
90-94	38974	Campania
95-99	9162	Campania
100+	908	Campania
0-4	169286	Emilia-Romagna
5-9	197524	Emilia-Romagna
10-14	208803	Emilia-Romagna
15-19	200503	Emilia-Romagna
20-24	201857	Emilia-Romagna
25-29	218803	Emilia-Romagna
30-34	236663	Emilia-Romagna
35-39	264578	Emilia-Romagna
40-44	322550	Emilia-Romagna
45-49	370762	Emilia-Romagna
50-54	367173	Emilia-Romagna
55-59	336924	Emilia-Romagna
60-64	289217	Emilia-Romagna
65-69	252994	Emilia-Romagna
70-74	250694	Emilia-Romagna
75-79	206435	Emilia-Romagna
80-84	180771	Emilia-Romagna
85-89	116895	Emilia-Romagna
90-94	54840	Emilia-Romagna
95-99	15432	Emilia-Romagna
100+	1415	Emilia-Romagna
0-4	40811	Friuli-Venezia Giulia
5-9	48944	Friuli-Venezia Giulia
10-14	53019	Friuli-Venezia Giulia
15-19	53011	Friuli-Venezia Giulia
20-24	53324	Friuli-Venezia Giulia
25-29	56027	Friuli-Venezia Giulia
30-34	59498	Friuli-Venezia Giulia
35-39	66131	Friuli-Venezia Giulia
40-44	80715	Friuli-Venezia Giulia
45-49	97962	Friuli-Venezia Giulia
50-54	101015	Friuli-Venezia Giulia
55-59	95068	Friuli-Venezia Giulia
60-64	80786	Friuli-Venezia Giulia
65-69	75003	Friuli-Venezia Giulia
70-74	75536	Friuli-Venezia Giulia
75-79	65873	Friuli-Venezia Giulia
80-84	52165	Friuli-Venezia Giulia
85-89	31142	Friuli-Venezia Giulia
90-94	15101	Friuli-Venezia Giulia
95-99	4693	Friuli-Venezia Giulia
100+	392	Friuli-Venezia Giulia
0-4	219169	Lazio
5-9	261200	Lazio
10-14	273658	Lazio
15-19	265645	Lazio
20-24	271880	Lazio
25-29	292581	Lazio
30-34	319316	Lazio
35-39	363392	Lazio
40-44	424593	Lazio
45-49	481735	Lazio
50-54	486108	Lazio
55-59	446722	Lazio
60-64	372824	Lazio
65-69	324265	Lazio
70-74	306728	Lazio
75-79	245279	Lazio
80-84	205476	Lazio
85-89	125902	Lazio
90-94	53710	Lazio
95-99	14100	Lazio
100+	1417	Lazio
0-4	47405	Liguria
5-9	56743	Liguria
10-14	62884	Liguria
15-19	64036	Liguria
20-24	66774	Liguria
25-29	69549	Liguria
30-34	71777	Liguria
35-39	75825	Liguria
40-44	93428	Liguria
45-49	118942	Liguria
50-54	129255	Liguria
55-59	123430	Liguria
60-64	106434	Liguria
65-69	96341	Liguria
70-74	99427	Liguria
75-79	86607	Liguria
80-84	76299	Liguria
85-89	49511	Liguria
90-94	23342	Liguria
95-99	6184	Liguria
100+	633	Liguria
0-4	395569	Lombardia
5-9	458849	Lombardia
10-14	488665	Lombardia
