età	popolazione	regione
15-19	474012	Lombardia
20-24	479236	Lombardia
25-29	506923	Lombardia
30-34	551429	Lombardia
35-39	612770	Lombardia
40-44	721733	Lombardia
45-49	823340	Lombardia
50-54	840172	Lombardia
55-59	751937	Lombardia
60-64	627132	Lombardia
65-69	561986	Lombardia
70-74	546328	Lombardia
75-79	449881	Lombardia
80-84	379655	Lombardia
85-89	229822	Lombardia
90-94	100183	Lombardia
95-99	25662	Lombardia
100+	2318	Lombardia
0-4	53691	Marche
5-9	64571	Marche
10-14	69302	Marche
15-19	68866	Marche
20-24	71924	Marche
25-29	74815	Marche
30-34	78686	Marche
35-39	87701	Marche
40-44	106368	Marche
45-49	118082	Marche
50-54	121007	Marche
55-59	115187	Marche
60-64	101446	Marche
65-69	91720	Marche
70-74	85705	Marche
75-79	70236	Marche
80-84	65760	Marche
85-89	42065	Marche
90-94	19871	Marche
95-99	5222	Marche
100+	447	Marche
0-4	9971	Molise
5-9	11350	Molise
10-14	12250	Molise
15-19	13448	Molise
20-24	15400	Molise
25-29	16722	Molise
30-34	16941	Molise
35-39	17720	Molise
40-44	20052	Molise
45-49	22162	Molise
50-54	23969	Molise
55-59	23474	Molise
60-64	21170	Molise
65-69	19339	Molise
70-74	17692	Molise
75-79	12599	Molise
80-84	12362	Molise
85-89	8676	Molise
90-94	3963	Molise
95-99	1140	Molise
100+	116	Molise
0-4	152500	Piemonte
5-9	179935	Piemonte
10-14	193003	Piemonte
15-19	191732	Piemonte
20-24	198118	Piemonte
25-29	208072	Piemonte
30-34	219290	Piemonte
35-39	240077	Piemonte
40-44	290053	Piemonte
45-49	342692	Piemonte
50-54	357279	Piemonte
55-59	331419	Piemonte
60-64	291087	Piemonte
65-69	267144	Piemonte
70-74	260991	Piemonte
75-79	216425	Piemonte
80-84	189439	Piemonte
85-89	117273	Piemonte
90-94	51019	Piemonte
95-99	12573	Piemonte
100+	1096	Piemonte
0-4	146757	Puglia
5-9	171695	Puglia
10-14	189371	Puglia
15-19	206808	Puglia
20-24	215618	Puglia
25-29	223657	Puglia
30-34	222922	Puglia
35-39	238039	Puglia
40-44	282201	Puglia
45-49	301091	Puglia
50-54	311957	Puglia
55-59	293629	Puglia
60-64	257718	Puglia
65-69	233182	Puglia
70-74	225233	Puglia
75-79	165301	Puglia
80-84	136652	Puglia
85-89	85572	Puglia
90-94	36258	Puglia
95-99	8762	Puglia
100+	882	Puglia
0-4	49324	Sardegna
5-9	61159	Sardegna
10-14	66771	Sardegna
15-19	68881	Sardegna
20-24	72082	Sardegna
25-29	80193	Sardegna
30-34	87157	Sardegna
35-39	98275	Sardegna
40-44	117846	Sardegna
45-49	133084	Sardegna
50-54	135378	Sardegna
55-59	130690	Sardegna
60-64	116968	Sardegna
65-69	106673	Sardegna
70-74	94096	Sardegna
75-79	76761	Sardegna
80-84	57929	Sardegna
85-89	37243	Sardegna
90-94	16451	Sardegna
95-99	4202	Sardegna
100+	458	Sardegna
0-4	200136	Sicilia
5-9	220774	Sicilia
10-14	241480	Sicilia
15-19	258511	Sicilia
20-24	270648	Sicilia
25-29	288509	Sicilia
30-34	289758	Sicilia
35-39	299989	Sicilia
40-44	333685	Sicilia
45-49	364754	Sicilia
50-54	373974	Sicilia
55-59	358991	Sicilia
60-64	317871	Sicilia
65-69	283330	Sicilia
70-74	263695	Sicilia
75-79	193270	Sicilia
80-84	160523	Sicilia
85-89	102607	Sicilia
90-94	41543	Sicilia
95-99	10210	Sicilia
100+	1032	Sicilia
0-4	128678	Toscana
5-9	154289	Toscana
10-14	166684	Toscana
15-19	163903	Toscana
20-24	164705	Toscana
25-29	175038	Toscana
30-34	190036	Toscana
35-39	211452	Toscana
40-44	257588	Toscana
45-49	299079	Toscana
50-54	304544	Toscana
55-59	282566	Toscana
60-64	243565	Toscana
65-69	219688	Toscana
70-74	228237	Toscana
75-79	181914	Toscana
80-84	159436	Toscana
85-89	100217	Toscana
90-94	47098	Toscana
95-99	12794	Toscana
100+	1044	Toscana
0-4	27033	Provincia Autonoma Bolzano / Bozen
5-9	27786	Provincia Autonoma Bolzano / Bozen
10-14	28413	Provincia Autonoma Bolzano / Bozen
15-19	29061	Provincia Autonoma Bolzano / Bozen
20-24	30524	Provincia Autonoma Bolzano / Bozen
25-29	30570	Provincia Autonoma Bolzano / Bozen
30-34	30403	Provincia Autonoma Bolzano / Bozen
35-39	32724	Provincia Autonoma Bolzano / Bozen
40-44	34514	Provincia Autonoma Bolzano / Bozen
45-49	41150	Provincia Autonoma Bolzano / Bozen
50-54	43898	Provincia Autonoma Bolzano / Bozen
55-59	39641	Provincia Autonoma Bolzano / Bozen
60-64	31271	Provincia Autonoma Bolzano / Bozen
65-69	25770	Provincia Autonoma Bolzano / Bozen
70-74	23801	Provincia Autonoma Bolzano / Bozen
75-79	22812	Provincia Autonoma Bolzano / Bozen
80-84	16464	Provincia Autonoma Bolzano / Bozen
85-89	10644	Provincia Autonoma Bolzano / Bozen
90-94	4729	Provincia Autonoma Bolzano / Bozen
95-99	1345	Provincia Autonoma Bolzano / Bozen
100+	91	Provincia Autonoma Bolzano / Bozen
0-4	22869	Provincia Autonoma Trento
5-9	26325	Provincia Autonoma Trento
10-14	27631	Provincia Autonoma Trento
15-19	28161	Provincia Autonoma Trento
20-24	28582	Provincia Autonoma Trento
25-29	29173	Provincia Autonoma Trento
30-34	29743	Provincia Autonoma Trento
35-39	31319	Provincia Autonoma Trento
40-44	36386	Provincia Autonoma Trento
45-49	41702	Provincia Autonoma Trento
50-54	44322	Provincia Autonoma Trento
55-59	41483	Provincia Autonoma Trento
60-64	35481	Provincia Autonoma Trento
65-69	31546	Provincia Autonoma Trento
70-74	28482	Provincia Autonoma Trento
75-79	23834	Provincia Autonoma Trento
80-84	18385	Provincia Autonoma Trento
85-89	12079	Provincia Autonoma Trento
90-94	5946	Provincia Autonoma Trento
95-99	1849	Provincia Autonoma Trento
100+	127	Provincia Autonoma Trento
0-4	29988	Umbria
5-9	36718	Umbria
10-14	39865	Umbria
15-19	38492	Umbria
20-24	39422	Umbria
25-29	41926	Umbria
30-34	45967	Umbria
35-39	51196	Umbria
40-44	60171	Umbria
45-49	67661	Umbria
50-54	69155	Umbria
55-59	66144	Umbria
60-64	57650	Umbria
65-69	52889	Umbria
70-74	51978	Umbria
75-79	43026	Umbria
80-84	37853	Umbria
85-89	24925	Umbria
90-94	11714	Umbria
95-99	3147	Umbria
100+	278	Umbria
0-4	183008	Veneto
5-9	216171	Veneto
10-14	234595	Veneto
15-19	233587	Veneto
20-24	237762	Veneto
25-29	243464	Veneto
30-34	253817	Veneto
35-39	279024	Veneto
40-44	340907	Veneto
45-49	401145	Veneto
50-54	416049	Veneto
55-59	383411	Veneto
60-64	320526	Veneto
65-69	282684	Veneto
70-74	268044	Veneto
75-79	226399	Veneto
80-84	181729	Veneto
85-89	111301	Veneto
90-94	50979	Veneto
95-99	13389	Veneto
100+	1142	Veneto
