cod_scuola|anno_corso|entrate|uscite
"AGEE02405Q"|3|3|0
"AGEE02405Q"|4||
"AGEE02405Q"|5||
"AGEE02406R"|1|1.2|0
"AGEE02406R"|2||
"AGEE02406R"|3||
"AGEE02406R"|4|2.1|0
"AGEE02406R"|5|1.9|0
"AGEE02407T"|1|2.4|2.4
"AGEE02407T"|2|2.5|0
"AGEE02407T"|3|0|0
"AGEE02407T"|4|0|0
"AGEE02407T"|5|0|0
"AGEE02408V"|1|0|3.3
"AGEE02408V"|2|0|5.6
"AGEE02408V"|3|0|0
"AGEE02408V"|4|5.6|0
"AGEE02408V"|5|0|0
"AGEE02604A"|1|0|0
"AGEE02604A"|2|0|0
"AGEE02604A"|3|0|0
"AGEE02604A"|4|0|0
"AGEE02604A"|5|0|0
"AGEE02605B"|1|0|0
"AGEE02605B"|2|0|0
"AGEE02605B"|3|0|0
"AGEE02605B"|4|0|0
"AGEE02605B"|5|0|0
"AGEE02801V"|1|11.5|3.8
"AGEE02801V"|2|1.9|1.9
"AGEE02801V"|3|1.3|3.8
"AGEE02801V"|4|1.8|7
"AGEE02801V"|5|0|2.9
"AGEE028086"|1|3.4|0
"AGEE028086"|2|0|0
"AGEE028086"|3|0|0
"AGEE028086"|4|0|4.2
"AGEE028086"|5|5.9|0
"AGEE02901P"|1|0|0
"AGEE02901P"|2|0|0
"AGEE02901P"|3|0|0
"AGEE02901P"|4|0|0
"AGEE02901P"|5|0|0
"AGEE02905V"|1|0|0
"AGEE02905V"|2||
"AGEE02905V"|3|0|0
"AGEE02905V"|4|0|0
"AGEE02905V"|5||
"AGEE03001V"|1|0|10.3
"AGEE03001V"|2|8.8|0
"AGEE03001V"|3|0|7.3
"AGEE03001V"|4|0|0
"AGEE03001V"|5|0|2.3
"AGEE03101P"|1|2|5.9
"AGEE03101P"|2|2.7|2.7
"AGEE03101P"|3|2.5|0
"AGEE03101P"|4|0|4.4
"AGEE03101P"|5|0|0
"AGEE03105V"|1|0|5.9
"AGEE03105V"|2|1.8|1.8
"AGEE03105V"|3|0|0
"AGEE03105V"|4|0|0
"AGEE03105V"|5|0|0
"AGEE034016"|1|0|0
"AGEE034016"|2|0|0
"AGEE034016"|3|0|0
"AGEE034016"|4|0|0
"AGEE034016"|5|0|0
"AGEE03406B"|1|0|0
"AGEE03406B"|2||
"AGEE03406B"|3|0|1
"AGEE03406B"|4|0|0
"AGEE03406B"|5|0|0
"AGEE03407C"|1|1.8|0
"AGEE03407C"|2|0|0
"AGEE03407C"|3|0|1.7
"AGEE03407C"|4|2.9|1.4
"AGEE03407C"|5|0|3.2
"AGEE035012"|1|0|1.2
"AGEE035012"|2|0|1
"AGEE035012"|3|0|8.6
"AGEE035012"|4|0|4.7
"AGEE035012"|5|0|3.9
"AGEE039019"|1|0|0
"AGEE039019"|2|0|0
"AGEE039019"|3|1.3|0
