codice_scuola|pc_desktop|pc_laptop|lim_aula|lim_laboratorio|lim_mobili|paule_lan|paule_wifi
"AQAA836045"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQAA83701T"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQAA83901D"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQAA83902E"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQAA83903G"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQAA83904L"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQCT700007"|"6,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQCT701003"|"9,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AQCT70300P"|"0,00"|"12,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQCT70400E"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AQEE002048"|"17,00"|"10,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE002059"|"17,00"|"10,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE003033"|"3,00"|"15,00"|"0,00"|"1,00"|"1,00"|"1,00"|"1,00"
"AQEE003044"|"0,00"|"30,00"|"0,00"|"0,00"|"1,00"|"0,20"|"0,20"
"AQEE003055"|"13,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AQEE004051"|"12,00"|"28,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AQEE004095"|"21,00"|"2,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE00413A"|"20,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE00601C"|"3,00"|"11,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AQEE00602D"|"7,00"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE006198"|"1,00"|"43,00"|"0,00"|"4,00"|"0,00"|"0,00"|"0,00"
"AQEE00620A"|"4,00"|"6,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AQEE00704B"|"5,00"|"20,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE00707E"|"5,00"|"20,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE00709L"|"12,00"|"24,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AQEE016013"|"23,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQEE016024"|"32,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,05"|"0,52"
"AQEE017031"|"8,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE017042"|"20,00"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE017053"|"24,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE017075"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE017086"|"9,00"|"3,00"|"1,00"|"0,00"|"1,00"|"0,00"|"1,00"
"AQEE017097"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE01902G"|"12,00"|"4,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,05"
"AQEE01905P"|"15,00"|"3,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,09"
"AQEE02601N"|"13,00"|"2,00"|"0,00"|"1,00"|"0,00"|"0,08"|"0,00"
"AQEE026081"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE026092"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE026104"|"11,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE026115"|"4,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE031037"|"2,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE031048"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE03107B"|"3,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE05210L"|"9,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE05212P"|"10,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE052181"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81203R"|"2,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81204T"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81205V"|"13,00"|"1,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQEE81301E"|"16,00"|"0,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQEE81302G"|"0,00"|"15,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE81401A"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81403C"|"5,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81404D"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE815016"|"19,00"|"100,00"|"3,00"|"1,00"|"0,00"|"0,00"|"0,50"
"AQEE815038"|"21,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"1,00"
"AQEE81505A"|"3,00"|"3,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81506B"|"3,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,33"|"0,00"
"AQEE81507C"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE816012"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81701T"|"0,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"
"AQEE81702V"|"8,00"|"1,00"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AQEE81901D"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81902E"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE81903G"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82001N"|"18,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82002P"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82003Q"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82004R"|"4,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82101D"|"11,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AQEE823015"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE823026"|"2,00"|"12,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,16"
"AQEE823048"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE823059"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82307B"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE824011"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE824022"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82501R"|"12,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82503V"|"12,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82504X"|"11,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82601L"|"14,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82602N"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82603P"|"5,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82604Q"|"4,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82605R"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82606T"|"7,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82607V"|"3,00"|"12,00"|"0,00"|"0,00"|"0,00"|"0,25"|"0,00"
"AQEE82608X"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,33"|"0,00"
"AQEE826091"|"16,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,33"|"0,00"
"AQEE82701C"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82702D"|"5,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE82703E"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE828018"|"78,00"|"2,00"|"1,00"|"0,00"|"0,00"|"0,20"|"0,20"
"AQEE829014"|"10,00"|"18,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AQEE829025"|"10,00"|"28,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AQEE829036"|"3,00"|"15,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE829047"|"11,00"|"21,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE831014"|"39,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE831025"|"36,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE831036"|"22,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83201X"|"1,00"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE832021"|"2,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE832032"|"2,00"|"21,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE832043"|"2,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE832054"|"8,00"|"4,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83301Q"|"0,00"|"23,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE83302R"|"1,00"|"9,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83303T"|"0,00"|"20,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83304V"|"14,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE833061"|"13,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83402L"|"5,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83403N"|"16,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,54"
"AQEE83404P"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,20"|"0,00"
"AQEE83501B"|"14,00"|"2,00"|"0,00"|"1,00"|"0,00"|"0,00"|"1,00"
"AQEE83502C"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83503D"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE836017"|"20,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQEE837013"|"21,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE837024"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE837035"|"7,00"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE837046"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83901P"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83902Q"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83903R"|"16,00"|"2,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,14"
"AQEE83904T"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQEE83905V"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM002003"|"57,00"|"55,00"|"4,00"|"1,00"|"2,00"|"0,00"|"1,00"
"AQMM01300D"|"38,00"|"20,00"|"6,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AQMM015005"|"0,00"|"24,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM02400X"|"10,00"|"1,00"|"1,00"|"1,00"|"2,00"|"0,00"|"0,00"
"AQMM028007"|"0,00"|"3,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM060003"|"17,00"|"2,00"|"2,00"|"0,00"|"0,00"|"0,27"|"0,00"
"AQMM81201N"|"14,00"|"2,00"|"2,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQMM81202P"|"8,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,33"|"0,00"
"AQMM81301D"|"23,00"|"2,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQMM814019"|"9,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM81402A"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM81403B"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM815026"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM815048"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM816011"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM81701R"|"19,00"|"3,00"|"3,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQMM81901C"|"0,00"|"14,00"|"1,00"|"0,00"|"0,00"|"0,40"|"0,00"
"AQMM81902D"|"7,00"|"7,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM82001L"|"21,00"|"0,00"|"3,00"|"0,00"|"0,00"|"0,33"|"0,00"
"AQMM82002N"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM82101C"|"13,00"|"1,00"|"2,00"|"1,00"|"0,00"|"0,00"|"1,00"
"AQMM823025"|"4,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM823036"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM823047"|"3,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM824021"|"16,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM82501Q"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM82502R"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM82503T"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM82601G"|"1,00"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQMM82602L"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM82701B"|"13,00"|"12,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM828017"|"78,00"|"2,00"|"3,00"|"0,00"|"0,00"|"0,30"|"0,30"
"AQMM829013"|"18,00"|"4,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AQMM831013"|"0,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQMM831024"|"46,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQMM83201V"|"10,00"|"0,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM83301P"|"15,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM83401E"|"17,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AQMM83402G"|"4,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM83501A"|"16,00"|"12,00"|"6,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AQMM836016"|"52,00"|"5,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"
"AQMM837023"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQMM83902P"|"25,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQPC00101N"|"60,00"|"132,00"|"0,00"|"1,00"|"3,00"|"0,00"|"0,00"
"AQPM00101T"|"60,00"|"132,00"|"0,00"|"1,00"|"3,00"|"0,00"|"0,00"
"AQPM01000G"|"73,00"|"0,00"|"0,00"|"0,00"|"1,00"|"1,00"|"1,00"
"AQPM03000R"|"49,00"|"4,00"|"0,00"|"0,00"|"3,00"|"0,70"|"0,00"
"AQPS00201L"|"20,00"|"10,00"|"6,00"|"0,00"|"3,00"|"0,00"|"0,00"
"AQPS01000E"|"58,00"|"24,00"|"0,00"|"0,00"|"1,00"|"0,00"|"1,00"
"AQPS03000Q"|"90,00"|"18,00"|"6,00"|"3,00"|"3,00"|"0,00"|"0,00"
"AQPS04000A"|"162,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"|"1,00"
"AQPS050001"|"12,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AQRA003012"|"60,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQRA010004"|"24,00"|"1,00"|"0,00"|"1,00"|"2,00"|"0,00"|"0,00"
"AQRA010015"|"14,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQRA010026"|"16,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQRC003011"|"60,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQRH010008"|"75,00"|"11,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQRI00201T"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQRI007011"|"46,00"|"35,00"|"0,00"|"1,00"|"3,00"|"0,97"|"0,00"
"AQSD008012"|"31,00"|"5,00"|"0,00"|"1,00"|"0,00"|"0,63"|"0,00"
"AQSD01201N"|"20,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQTD00601Q"|"108,00"|"6,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,07"
"AQTD070002"|"25,00"|"2,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQTD08000L"|"22,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQTF006012"|"79,00"|"6,00"|"1,00"|"1,00"|"0,00"|"1,00"|"1,00"
"AQTF01601L"|"905,00"|"59,00"|"3,00"|"0,00"|"0,00"|"1,00"|"1,00"
"AQTF016512"|"50,00"|"50,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AQTL00301P"|"62,00"|"4,00"|"0,00"|"1,00"|"0,00"|"0,08"|"0,00"
"AQTL006016"|"28,00"|"5,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AQTL013019"|"40,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA01501L"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA01503P"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA01703A"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA01705C"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA019065"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA019087"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA01910A"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA03601N"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA03602P"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA81001C"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA81002D"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA811029"|"3,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA813021"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA813032"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA813043"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA813054"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA81402R"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA81501G"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA81502L"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA81901V"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA81902X"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA820013"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA820024"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA820035"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA820046"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82101V"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82102X"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA821031"|"2,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82201P"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82202Q"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82301E"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82302G"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82303L"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82401A"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82402B"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA825027"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA825038"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA826012"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82701T"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82702V"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82703X"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82801N"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82802P"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82901D"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82902E"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82903G"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA82904L"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"ARAA83001N"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83101D"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83103G"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83104L"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83105N"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA832019"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83202A"|"2,00"|"2,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"ARAA83203B"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"ARAA83501R"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83502T"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83601L"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83602N"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83603P"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83701C"|"4,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA83702D"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA838018"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,16"|"0,00"
"ARAA838029"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA839014"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARAA839025"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"ARCT70000T"|"4,00"|"1,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"ARCT70100N"|"72,00"|"2,00"|"2,00"|"0,00"|"0,00"|"0,00"|"1,00"
"ARCT70200D"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AREE01501T"|"19,00"|"1,00"|"7,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AREE015096"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AREE01701D"|"9,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AREE01702E"|"12,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
