codice_scuola|pc_desktop|pc_laptop|lim_aula|lim_laboratorio|lim_mobili|paule_lan|paule_wifi
"AGEE00903G"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE01001N"|"25,00"|"4,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGEE01003Q"|"13,00"|"1,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGEE01102E"|"13,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,38"|"0,00"
"AGEE01104L"|"5,00"|"3,00"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AGEE01504X"|"39,00"|"3,00"|"0,00"|"1,00"|"0,00"|"0,12"|"0,00"
"AGEE015051"|"14,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE015062"|"12,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE01601L"|"15,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE01604Q"|"12,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGEE019014"|"20,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE019036"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE02003A"|"10,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE02029G"|"13,00"|"0,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"
"AGEE021014"|"13,00"|"0,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AGEE021036"|"13,00"|"2,00"|"0,00"|"1,00"|"1,00"|"0,00"|"0,00"
"AGEE02201X"|"11,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE02604A"|"15,00"|"6,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE02605B"|"11,00"|"11,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE02801V"|"26,00"|"6,00"|"2,00"|"0,00"|"2,00"|"0,00"|"1,00"
"AGEE028086"|"12,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE02901P"|"30,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE02905V"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE03101P"|"20,00"|"3,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE03105V"|"15,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE034016"|"50,00"|"3,00"|"0,00"|"2,00"|"0,00"|"1,00"|"0,00"
"AGEE03406B"|"28,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGEE03407C"|"26,00"|"2,00"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGEE035012"|"62,00"|"1,00"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGEE039019"|"24,00"|"8,00"|"0,00"|"1,00"|"1,00"|"0,00"|"1,00"
"AGEE03903B"|"5,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE041019"|"9,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE04103B"|"10,00"|"10,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AGEE042015"|"25,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE042037"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE042048"|"18,00"|"4,00"|"0,00"|"1,00"|"2,00"|"0,00"|"0,00"
"AGEE043011"|"30,00"|"30,00"|"7,00"|"2,00"|"0,00"|"0,46"|"0,00"
"AGEE043033"|"12,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
